time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-02-28T01:47:24.000Z,51.0236,-176.047,25.6,3.3,ml,,,,0.35,ak,ak11172210,2014-02-28T09:49:52.827Z,"104km SSE of Adak, Alaska",earthquake
2014-02-28T01:25:36.800Z,18.9108,-66.8888,64,3,Md,5,288,0.54976895,0.38,pr,pr14059001,2014-02-28T04:17:18.696Z,"47km N of Hatillo, Puerto Rico",earthquake
2014-02-28T01:21:21.000Z,52.0597,179.6184,85.7,3.5,ml,,,,0.45,ak,ak11172204,2014-02-28T09:23:53.376Z,"12km N of Semisopochnoi Island, Alaska",earthquake
2014-02-28T00:51:47.000Z,19.0216,-66.7762,54,3.3,Md,13,270,0.58929483,0.34,pr,pr14059000,2014-02-28T03:59:33.863Z,"59km N of Hatillo, Puerto Rico",earthquake
2014-02-28T00:38:08.000Z,61.3014,-151.0863,53.3,2.5,ml,,,,0.74,ak,ak11172197,2014-02-28T08:40:43.490Z,"64km W of Anchorage, Alaska",earthquake
2014-02-27T22:32:35.230Z,-6.461,128.9087,34.51,4.8,mb,,26,2.812,0.77,us,usb000mxxg,2014-02-28T06:35:16.049Z,"Banda Sea",earthquake
2014-02-27T19:09:48.000Z,57.7055,-152.8579,100,2.9,ml,,,,1.11,ak,ak11171880,2014-02-28T03:12:23.122Z,"16km WSW of Kodiak Station, Alaska",earthquake
2014-02-27T18:55:19.000Z,51.1673,-176.2405,42.1,2.9,ml,,,,0.42,ak,ak11171876,2014-02-28T02:58:01.360Z,"84km SSE of Adak, Alaska",earthquake
2014-02-27T18:52:30.020Z,35.8651667,-121.4993333,9.84,4.04,mw,148,192,0.1129,0.14,nc,nc72176091,2014-03-02T17:51:22.802Z,"37km NW of San Simeon, California",earthquake
2014-02-27T18:48:49.400Z,19.3096,-64.0828,40,3.4,Md,15,313.2,1.02048616,0.2,pr,pr14058006,2014-02-28T02:51:29.847Z,"113km NNE of Road Town, British Virgin Islands",earthquake
2014-02-27T18:41:58.000Z,60.1022,-152.9603,122.5,3.3,ml,,,,0.85,ak,ak11171849,2014-02-28T02:45:00.120Z,"44km SSW of Redoubt Volcano, Alaska",earthquake
2014-02-27T17:23:04.310Z,-31.2183,-68.4638,97.52,4.9,mb,,61,2.265,0.64,us,usc000mz5a,2014-02-27T17:59:08.055Z,"24km NNE of Albardon, Argentina",earthquake
2014-02-27T16:25:25.290Z,14.312,-92.8644,53.39,4.4,mb,,200,1.151,1.02,us,usc000mz2s,2014-02-28T15:33:21.000Z,"65km SW of Puerto Madero, Mexico",earthquake
2014-02-27T15:48:51.800Z,47.6107,-122.8483,24.5,3,Ml,,39.6,0.04491576,0.28,uw,uw60703407,2014-03-02T20:53:21.944Z,"2km SSW of Seabeck, Washington",earthquake
2014-02-27T13:33:14.000Z,59.9623,-153.1295,100,3.2,ml,62,140.399988768001,,0.78,ak,ak11171795,2014-02-27T21:36:09.109Z,"62km SSW of Redoubt Volcano, Alaska",earthquake
2014-02-27T13:18:09.950Z,12.3797,-89.1441,36.16,4.6,mb,,207,1.302,0.82,us,usc000mz0d,2014-02-27T21:22:26.495Z,"118km SSW of Puerto El Triunfo, El Salvador",earthquake
2014-02-27T11:31:28.430Z,14.5664,-93.0284,57.7,4.6,mb,,167,1.291,0.92,us,usc000myzz,2014-02-27T20:03:00.753Z,"67km WSW of Puerto Madero, Mexico",earthquake
2014-02-27T10:14:02.710Z,36.4827,-97.1106,5,3.7,mb_lg,,79,0.703,0.64,us,usc000myyy,2014-02-28T01:21:47.413Z,"22km SSW of McCord, Oklahoma",earthquake
2014-02-27T09:57:10.450Z,54.2206,-169.3391,258.29,4.2,mb,,84,1.283,1.29,us,usc000myyv,2014-02-27T18:17:34.054Z,"146km NNW of Nikolski, Alaska",earthquake
2014-02-27T06:25:42.900Z,18.1965,-67.9067,118,3.3,Md,16,198,0.54976895,0.31,pr,pr14058005,2014-02-27T14:28:16.594Z,"67km SE of Punta Cana, Dominican Republic",earthquake
2014-02-27T06:05:16.690Z,38.8481,49.2047,25.38,4.1,mb,,97,3.689,0.68,us,usc000myxa,2014-02-27T14:07:59.166Z,"32km ENE of , Azerbaijan",earthquake
2014-02-27T05:49:06.300Z,19.2758,-64.8062,24,3,Md,4,306,0.87226414,0.17,pr,pr14058004,2014-02-27T13:57:45.436Z,"97km NNW of Road Town, British Virgin Islands",earthquake
2014-02-27T05:47:29.000Z,60.0883,-153.3013,100,2.9,ml,,,,0.63,ak,ak11171725,2014-02-27T13:50:15.757Z,"53km SW of Redoubt Volcano, Alaska",earthquake
2014-02-27T05:10:59.040Z,-59.4595,-59.7034,10,5.3,mb,,87,5.709,0.68,us,usc000myx0,2014-02-28T15:34:23.000Z,"Drake Passage",earthquake
2014-02-27T04:09:23.700Z,18.7938,-65.0736,48,2.6,Md,4,259.2,0.45364922,0.15,pr,pr14058002,2014-02-27T12:11:58.826Z,"52km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2014-02-27T01:12:49.400Z,18.7964,-64.301,40,3,Md,3,338.4,0.48059868,0.09,pr,pr14058001,2014-02-27T09:15:16.301Z,"53km NE of Road Town, British Virgin Islands",earthquake
